>>>test1.jpg : x =1229.4893, y =734.3714
>>>test10.jpg : x =1031.2798, y =643.7504
>>>test11.jpg : x =511.2048, y =128.4769
>>>test12.jpg : x =353.9574, y =235.4035
>>>test13.jpg : x =354.1567, y =391.8274
>>>test14.jpg : x =1109.1636, y =532.6285
>>>test15.jpg : x =339.8991, y =150.1419
>>>test16.jpg : x =969.9197, y =706.0884
>>>test17.jpg : x =210.7211, y =118.207
>>>test19.jpg : x =1197.2666, y =459.5597
>>>test6.jpg : x =75.8341, y =734.2704
>>>test7.jpg : x =424.2482, y =113.4274
>>>test8.jpg : x =1207.8999, y =323.2392
